symbol,contract_id,data_points,min_price,max_price,avg_price,first_timestamp,last_timestamp,first_date,last_date
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,30,0.999492,1.0,0.999835414275329,1754193600,1756699200,2025-08-03,2025-09-01
USDC,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,30,0.999708,0.999888,0.9997894333333334,1754193600,1756699200,2025-08-03,2025-09-01
USDT,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,30,0.999529,1.001,1.0000652,1754193600,1756699200,2025-08-03,2025-09-01
WETH,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30,3446.83,4790.27,4282.118666666666,1754193600,1756699200,2025-08-03,2025-09-01
