contract_id,chain,contract_address,symbol,name,decimals,total_supply,defillama_id,coingecko_id,created_at,updated_at
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USD Coin,6,,,,2025-09-01 10:41:51.356,2025-09-01 10:41:51.356
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether,6,,,,2025-09-01 10:41:51.359,2025-09-01 10:41:51.359
ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,,,,2025-09-01 10:41:51.361,2025-09-01 10:41:51.361
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,Dai Stablecoin,18,,,,2025-09-01 10:41:51.362,2025-09-01 10:41:51.362
